Final_Rank,Market,Region,TF,Factors,Direction,AvgWin%,Trades,TotalPnL%,Net_TotalPnL%_After_Tax,Cost%_RT,Net_Total%_After_Charges,Tax%,Verified_File,Indicators_Computation,Cost_Doc,Verification_Status
1,XLK_Tech,US,1h,Price<SMA50+EMA9>EMA20+EMA20<EMA50,LONG,66.02,103,17.1,11.28,0.02,15.04,25,XLK_Tech_1h_2y_REAL.csv,"1h timeframe: SMA20=Close.rolling(20).mean(), SMA50=rolling(50).mean(), EMA9=ewm(span=9, adjust=False), EMA20=span20 adjust=False, EMA50=span50 adjust=False, RSI14=Wilder alpha=1/14 adjust=False, Range=(High-Low)/Close, 2Red=Ret<0 & Ret.shift(1)<0, Next_Ret=Close.shift(-1)/Close-1 (next 1 hour)","US 0.02% RT (0 commission + SEC/FINRA + slippage 0.01%), Crypto 0.30% RT (Binance 0.1% per side + slippage 0.05% per side)",VERIFIED_CORRECT_FORMULA_1h_adjust=False_TOP40_INTRADAY
2,XLK_Tech,US,1h,Price<SMA50+EMA9>EMA20,LONG,62.99,154,18.09,11.26,0.02,15.01,25,XLK_Tech_1h_2y_REAL.csv,"1h timeframe: SMA20=Close.rolling(20).mean(), SMA50=rolling(50).mean(), EMA9=ewm(span=9, adjust=False), EMA20=span20 adjust=False, EMA50=span50 adjust=False, RSI14=Wilder alpha=1/14 adjust=False, Range=(High-Low)/Close, 2Red=Ret<0 & Ret.shift(1)<0, Next_Ret=Close.shift(-1)/Close-1 (next 1 hour)","US 0.02% RT (0 commission + SEC/FINRA + slippage 0.01%), Crypto 0.30% RT (Binance 0.1% per side + slippage 0.05% per side)",VERIFIED_CORRECT_FORMULA_1h_adjust=False_TOP40_INTRADAY
3,XLK_Tech,US,1h,Price>SMA20+Price<SMA50+EMA9>EMA20,LONG,67.35,98,15.66,10.28,0.02,13.7,25,XLK_Tech_1h_2y_REAL.csv,"1h timeframe: SMA20=Close.rolling(20).mean(), SMA50=rolling(50).mean(), EMA9=ewm(span=9, adjust=False), EMA20=span20 adjust=False, EMA50=span50 adjust=False, RSI14=Wilder alpha=1/14 adjust=False, Range=(High-Low)/Close, 2Red=Ret<0 & Ret.shift(1)<0, Next_Ret=Close.shift(-1)/Close-1 (next 1 hour)","US 0.02% RT (0 commission + SEC/FINRA + slippage 0.01%), Crypto 0.30% RT (Binance 0.1% per side + slippage 0.05% per side)",VERIFIED_CORRECT_FORMULA_1h_adjust=False_TOP40_INTRADAY
4,XLK_Tech,US,1h,Price>SMA20+Price<SMA50+EMA9>EMA20+EMA20<EMA50,LONG,67.05,88,14.45,9.52,0.02,12.69,25,XLK_Tech_1h_2y_REAL.csv,"1h timeframe: SMA20=Close.rolling(20).mean(), SMA50=rolling(50).mean(), EMA9=ewm(span=9, adjust=False), EMA20=span20 adjust=False, EMA50=span50 adjust=False, RSI14=Wilder alpha=1/14 adjust=False, Range=(High-Low)/Close, 2Red=Ret<0 & Ret.shift(1)<0, Next_Ret=Close.shift(-1)/Close-1 (next 1 hour)","US 0.02% RT (0 commission + SEC/FINRA + slippage 0.01%), Crypto 0.30% RT (Binance 0.1% per side + slippage 0.05% per side)",VERIFIED_CORRECT_FORMULA_1h_adjust=False_TOP40_INTRADAY
5,QQQ,US,1h,Price>SMA20+Price<SMA50+EMA9>EMA20+EMA20<EMA50,LONG,63.38,71,13.07,8.74,0.02,11.65,25,QQQ_1h_2y_REAL.csv,"1h timeframe: SMA20=Close.rolling(20).mean(), SMA50=rolling(50).mean(), EMA9=ewm(span=9, adjust=False), EMA20=span20 adjust=False, EMA50=span50 adjust=False, RSI14=Wilder alpha=1/14 adjust=False, Range=(High-Low)/Close, 2Red=Ret<0 & Ret.shift(1)<0, Next_Ret=Close.shift(-1)/Close-1 (next 1 hour)","US 0.02% RT (0 commission + SEC/FINRA + slippage 0.01%), Crypto 0.30% RT (Binance 0.1% per side + slippage 0.05% per side)",VERIFIED_CORRECT_FORMULA_1h_adjust=False_TOP40_INTRADAY
6,Nasdaq100,US,1h,Price>SMA20+Price<SMA50+EMA9>EMA20+EMA20<EMA50,LONG,62.86,70,12.4,8.25,0.02,11.0,25,Nasdaq100_1h_2y_REAL.csv,"1h timeframe: SMA20=Close.rolling(20).mean(), SMA50=rolling(50).mean(), EMA9=ewm(span=9, adjust=False), EMA20=span20 adjust=False, EMA50=span50 adjust=False, RSI14=Wilder alpha=1/14 adjust=False, Range=(High-Low)/Close, 2Red=Ret<0 & Ret.shift(1)<0, Next_Ret=Close.shift(-1)/Close-1 (next 1 hour)","US 0.02% RT (0 commission + SEC/FINRA + slippage 0.01%), Crypto 0.30% RT (Binance 0.1% per side + slippage 0.05% per side)",VERIFIED_CORRECT_FORMULA_1h_adjust=False_TOP40_INTRADAY
7,XLK_Tech,US,1h,Price>SMA20+Price<SMA50+EMA9>EMA20+Close>Open,LONG,70.83,48,10.71,7.31,0.02,9.75,25,XLK_Tech_1h_2y_REAL.csv,"1h timeframe: SMA20=Close.rolling(20).mean(), SMA50=rolling(50).mean(), EMA9=ewm(span=9, adjust=False), EMA20=span20 adjust=False, EMA50=span50 adjust=False, RSI14=Wilder alpha=1/14 adjust=False, Range=(High-Low)/Close, 2Red=Ret<0 & Ret.shift(1)<0, Next_Ret=Close.shift(-1)/Close-1 (next 1 hour)","US 0.02% RT (0 commission + SEC/FINRA + slippage 0.01%), Crypto 0.30% RT (Binance 0.1% per side + slippage 0.05% per side)",VERIFIED_CORRECT_FORMULA_1h_adjust=False_TOP40_INTRADAY
8,IWM,US,1h,Price>SMA20+Range>1.5%,SHORT,64.44,45,10.58,7.26,0.02,9.68,25,IWM_1h_2y_REAL.csv,"1h timeframe: SMA20=Close.rolling(20).mean(), SMA50=rolling(50).mean(), EMA9=ewm(span=9, adjust=False), EMA20=span20 adjust=False, EMA50=span50 adjust=False, RSI14=Wilder alpha=1/14 adjust=False, Range=(High-Low)/Close, 2Red=Ret<0 & Ret.shift(1)<0, Next_Ret=Close.shift(-1)/Close-1 (next 1 hour)","US 0.02% RT (0 commission + SEC/FINRA + slippage 0.01%), Crypto 0.30% RT (Binance 0.1% per side + slippage 0.05% per side)",VERIFIED_CORRECT_FORMULA_1h_adjust=False_TOP40_INTRADAY
9,SP500,US,1h,Price>SMA20+Price<SMA50+2Red,SHORT,67.5,40,10.18,7.04,0.02,9.38,25,SP500_1h_2y_REAL.csv,"1h timeframe: SMA20=Close.rolling(20).mean(), SMA50=rolling(50).mean(), EMA9=ewm(span=9, adjust=False), EMA20=span20 adjust=False, EMA50=span50 adjust=False, RSI14=Wilder alpha=1/14 adjust=False, Range=(High-Low)/Close, 2Red=Ret<0 & Ret.shift(1)<0, Next_Ret=Close.shift(-1)/Close-1 (next 1 hour)","US 0.02% RT (0 commission + SEC/FINRA + slippage 0.01%), Crypto 0.30% RT (Binance 0.1% per side + slippage 0.05% per side)",VERIFIED_CORRECT_FORMULA_1h_adjust=False_TOP40_INTRADAY
10,QQQ,US,1h,Price<SMA50+EMA9>EMA20+EMA20<EMA50,LONG,60.0,85,11.09,7.04,0.02,9.39,25,QQQ_1h_2y_REAL.csv,"1h timeframe: SMA20=Close.rolling(20).mean(), SMA50=rolling(50).mean(), EMA9=ewm(span=9, adjust=False), EMA20=span20 adjust=False, EMA50=span50 adjust=False, RSI14=Wilder alpha=1/14 adjust=False, Range=(High-Low)/Close, 2Red=Ret<0 & Ret.shift(1)<0, Next_Ret=Close.shift(-1)/Close-1 (next 1 hour)","US 0.02% RT (0 commission + SEC/FINRA + slippage 0.01%), Crypto 0.30% RT (Binance 0.1% per side + slippage 0.05% per side)",VERIFIED_CORRECT_FORMULA_1h_adjust=False_TOP40_INTRADAY
