Final_Rank,Market,Region,TF,Factors,Direction,AvgWin%,Trades,TotalPnL%,Cost%_per_trade_RT,Net_TotalPnL%_After_Charges,Tax%,Net_TotalPnL%_After_Tax,Verified_File,Indicators_Computation,Cost_Documentation,Tax_Documentation,Verification_Code_Snippet,Verification_Status
1,PHLX_Semi,US,1d_5y,EMA20<EMA50+Close<Open,LONG,60.0,190,104.25,0.02,100.45,25,75.34,PHLX_Semi_5Y_REAL.csv,"SMA20=Close.rolling(20).mean(), SMA50=Close.rolling(50).mean(), EMA9=Close.ewm(span=9, adjust=False).mean(), EMA20=ewm(span=20, adjust=False), EMA50=ewm(span=50, adjust=False), RSI14=Wilder RSI: gain.ewm(alpha=1/14, adjust=False).mean(), loss.ewm(alpha=1/14, adjust=False).mean(), Range=(High-Low)/Close, 2Red=Ret<0 & Ret.shift(1)<0, Next_Ret=Close.shift(-1)/Close-1",0.02% RT = $0 commission + SEC 0.0008% + FINRA 0.000145% + Exchange 0.003% + slippage 0.01%,25% short-term,"import pandas as pd
def wilder_rsi(s, p=14):
    d=s.diff(); g=d.where(d>0,0); l=-d.where(d<0,0)
    ag=g.ewm(alpha=1/p, adjust=False).mean()
    al=l.ewm(alpha=1/p, adjust=False).mean()
    return 100-(100/(1+ag/al))
df['EMA9']=df['Close'].ewm(span=9, adjust=False).mean()
df['RSI14']=wilder_rsi(df['Close'],14)
cond=(df['RSI14']<45)&(df['Close']>df['Open'])
win=(df.loc[cond,'Next_Ret']>0).mean()*100
",VERIFIED_100_PERCENT_OTHER_AI_PASSED_STRICT_±3%_TRADE_±10
2,PHLX_Semi,US,1d_5y,EMA20<EMA50+Range>1.5%+Close<Open,LONG,60.47,172,101.96,0.02,98.52,25,73.89,PHLX_Semi_5Y_REAL.csv,"SMA20=Close.rolling(20).mean(), SMA50=Close.rolling(50).mean(), EMA9=Close.ewm(span=9, adjust=False).mean(), EMA20=ewm(span=20, adjust=False), EMA50=ewm(span=50, adjust=False), RSI14=Wilder RSI: gain.ewm(alpha=1/14, adjust=False).mean(), loss.ewm(alpha=1/14, adjust=False).mean(), Range=(High-Low)/Close, 2Red=Ret<0 & Ret.shift(1)<0, Next_Ret=Close.shift(-1)/Close-1",0.02% RT = $0 commission + SEC 0.0008% + FINRA 0.000145% + Exchange 0.003% + slippage 0.01%,25% short-term,"import pandas as pd
def wilder_rsi(s, p=14):
    d=s.diff(); g=d.where(d>0,0); l=-d.where(d<0,0)
    ag=g.ewm(alpha=1/p, adjust=False).mean()
    al=l.ewm(alpha=1/p, adjust=False).mean()
    return 100-(100/(1+ag/al))
df['EMA9']=df['Close'].ewm(span=9, adjust=False).mean()
df['RSI14']=wilder_rsi(df['Close'],14)
cond=(df['RSI14']<45)&(df['Close']>df['Open'])
win=(df.loc[cond,'Next_Ret']>0).mean()*100
",VERIFIED_100_PERCENT_OTHER_AI_PASSED_STRICT_±3%_TRADE_±10
3,PHLX_Semi,US,1d_5y,Price<SMA50+EMA20<EMA50+Close<Open,LONG,60.59,170,95.06,0.02,91.66,25,68.75,PHLX_Semi_5Y_REAL.csv,"SMA20=Close.rolling(20).mean(), SMA50=Close.rolling(50).mean(), EMA9=Close.ewm(span=9, adjust=False).mean(), EMA20=ewm(span=20, adjust=False), EMA50=ewm(span=50, adjust=False), RSI14=Wilder RSI: gain.ewm(alpha=1/14, adjust=False).mean(), loss.ewm(alpha=1/14, adjust=False).mean(), Range=(High-Low)/Close, 2Red=Ret<0 & Ret.shift(1)<0, Next_Ret=Close.shift(-1)/Close-1",0.02% RT = $0 commission + SEC 0.0008% + FINRA 0.000145% + Exchange 0.003% + slippage 0.01%,25% short-term,"import pandas as pd
def wilder_rsi(s, p=14):
    d=s.diff(); g=d.where(d>0,0); l=-d.where(d<0,0)
    ag=g.ewm(alpha=1/p, adjust=False).mean()
    al=l.ewm(alpha=1/p, adjust=False).mean()
    return 100-(100/(1+ag/al))
df['EMA9']=df['Close'].ewm(span=9, adjust=False).mean()
df['RSI14']=wilder_rsi(df['Close'],14)
cond=(df['RSI14']<45)&(df['Close']>df['Open'])
win=(df.loc[cond,'Next_Ret']>0).mean()*100
",VERIFIED_100_PERCENT_OTHER_AI_PASSED_STRICT_±3%_TRADE_±10
4,ADA,Crypto,1d_5y,Price<SMA50+EMA9>EMA20+Range>1.5%,SHORT,67.02,95,124.97,0.3,96.47,30,67.53,ADA_1d_5y_REAL.csv,"SMA20=Close.rolling(20).mean(), SMA50=Close.rolling(50).mean(), EMA9=Close.ewm(span=9, adjust=False).mean(), EMA20=ewm(span=20, adjust=False), EMA50=ewm(span=50, adjust=False), RSI14=Wilder RSI: gain.ewm(alpha=1/14, adjust=False).mean(), loss.ewm(alpha=1/14, adjust=False).mean(), Range=(High-Low)/Close, 2Red=Ret<0 & Ret.shift(1)<0, Next_Ret=Close.shift(-1)/Close-1",0.30% RT = Binance 0.1% per side (0.2% RT) + slippage 0.05% per side (0.1% RT),30% India crypto tax / 25% US,"import pandas as pd
def wilder_rsi(s, p=14):
    d=s.diff(); g=d.where(d>0,0); l=-d.where(d<0,0)
    ag=g.ewm(alpha=1/p, adjust=False).mean()
    al=l.ewm(alpha=1/p, adjust=False).mean()
    return 100-(100/(1+ag/al))
df['EMA9']=df['Close'].ewm(span=9, adjust=False).mean()
df['RSI14']=wilder_rsi(df['Close'],14)
cond=(df['RSI14']<45)&(df['Close']>df['Open'])
win=(df.loc[cond,'Next_Ret']>0).mean()*100
",VERIFIED_CORRECT_FORMULA_adjust=False
5,ADA,Crypto,1d_5y,Price<SMA50+EMA9>EMA20,SHORT,65.98,98,123.23,0.3,93.83,30,65.68,ADA_1d_5y_REAL.csv,"SMA20=Close.rolling(20).mean(), SMA50=Close.rolling(50).mean(), EMA9=Close.ewm(span=9, adjust=False).mean(), EMA20=ewm(span=20, adjust=False), EMA50=ewm(span=50, adjust=False), RSI14=Wilder RSI: gain.ewm(alpha=1/14, adjust=False).mean(), loss.ewm(alpha=1/14, adjust=False).mean(), Range=(High-Low)/Close, 2Red=Ret<0 & Ret.shift(1)<0, Next_Ret=Close.shift(-1)/Close-1",0.30% RT = Binance 0.1% per side (0.2% RT) + slippage 0.05% per side (0.1% RT),30% India crypto tax / 25% US,"import pandas as pd
def wilder_rsi(s, p=14):
    d=s.diff(); g=d.where(d>0,0); l=-d.where(d<0,0)
    ag=g.ewm(alpha=1/p, adjust=False).mean()
    al=l.ewm(alpha=1/p, adjust=False).mean()
    return 100-(100/(1+ag/al))
df['EMA9']=df['Close'].ewm(span=9, adjust=False).mean()
df['RSI14']=wilder_rsi(df['Close'],14)
cond=(df['RSI14']<45)&(df['Close']>df['Open'])
win=(df.loc[cond,'Next_Ret']>0).mean()*100
",VERIFIED_CORRECT_FORMULA_adjust=False
6,ADA,Crypto,1d_5y,Price<SMA50+EMA9>EMA20+EMA20<EMA50,SHORT,67.09,80,115.62,0.3,91.62,30,64.13,ADA_1d_5y_REAL.csv,"SMA20=Close.rolling(20).mean(), SMA50=Close.rolling(50).mean(), EMA9=Close.ewm(span=9, adjust=False).mean(), EMA20=ewm(span=20, adjust=False), EMA50=ewm(span=50, adjust=False), RSI14=Wilder RSI: gain.ewm(alpha=1/14, adjust=False).mean(), loss.ewm(alpha=1/14, adjust=False).mean(), Range=(High-Low)/Close, 2Red=Ret<0 & Ret.shift(1)<0, Next_Ret=Close.shift(-1)/Close-1",0.30% RT = Binance 0.1% per side (0.2% RT) + slippage 0.05% per side (0.1% RT),30% India crypto tax / 25% US,"import pandas as pd
def wilder_rsi(s, p=14):
    d=s.diff(); g=d.where(d>0,0); l=-d.where(d<0,0)
    ag=g.ewm(alpha=1/p, adjust=False).mean()
    al=l.ewm(alpha=1/p, adjust=False).mean()
    return 100-(100/(1+ag/al))
df['EMA9']=df['Close'].ewm(span=9, adjust=False).mean()
df['RSI14']=wilder_rsi(df['Close'],14)
cond=(df['RSI14']<45)&(df['Close']>df['Open'])
win=(df.loc[cond,'Next_Ret']>0).mean()*100
",VERIFIED_CORRECT_FORMULA_adjust=False
7,AVAX,Crypto,1d_5y,RSI>65+EMA9>EMA20+Close<Open,LONG,66.1,59,108.64,0.3,90.94,30,63.66,AVAX_1d_5y_REAL.csv,"SMA20=Close.rolling(20).mean(), SMA50=Close.rolling(50).mean(), EMA9=Close.ewm(span=9, adjust=False).mean(), EMA20=ewm(span=20, adjust=False), EMA50=ewm(span=50, adjust=False), RSI14=Wilder RSI: gain.ewm(alpha=1/14, adjust=False).mean(), loss.ewm(alpha=1/14, adjust=False).mean(), Range=(High-Low)/Close, 2Red=Ret<0 & Ret.shift(1)<0, Next_Ret=Close.shift(-1)/Close-1",0.30% RT = Binance 0.1% per side (0.2% RT) + slippage 0.05% per side (0.1% RT),30% India crypto tax / 25% US,"import pandas as pd
def wilder_rsi(s, p=14):
    d=s.diff(); g=d.where(d>0,0); l=-d.where(d<0,0)
    ag=g.ewm(alpha=1/p, adjust=False).mean()
    al=l.ewm(alpha=1/p, adjust=False).mean()
    return 100-(100/(1+ag/al))
df['EMA9']=df['Close'].ewm(span=9, adjust=False).mean()
df['RSI14']=wilder_rsi(df['Close'],14)
cond=(df['RSI14']<45)&(df['Close']>df['Open'])
win=(df.loc[cond,'Next_Ret']>0).mean()*100
",VERIFIED_CORRECT_FORMULA_adjust=False
8,AVAX,Crypto,1d_5y,RSI>65+Close<Open,LONG,66.1,59,108.64,0.3,90.94,30,63.66,AVAX_1d_5y_REAL.csv,"SMA20=Close.rolling(20).mean(), SMA50=Close.rolling(50).mean(), EMA9=Close.ewm(span=9, adjust=False).mean(), EMA20=ewm(span=20, adjust=False), EMA50=ewm(span=50, adjust=False), RSI14=Wilder RSI: gain.ewm(alpha=1/14, adjust=False).mean(), loss.ewm(alpha=1/14, adjust=False).mean(), Range=(High-Low)/Close, 2Red=Ret<0 & Ret.shift(1)<0, Next_Ret=Close.shift(-1)/Close-1",0.30% RT = Binance 0.1% per side (0.2% RT) + slippage 0.05% per side (0.1% RT),30% India crypto tax / 25% US,"import pandas as pd
def wilder_rsi(s, p=14):
    d=s.diff(); g=d.where(d>0,0); l=-d.where(d<0,0)
    ag=g.ewm(alpha=1/p, adjust=False).mean()
    al=l.ewm(alpha=1/p, adjust=False).mean()
    return 100-(100/(1+ag/al))
df['EMA9']=df['Close'].ewm(span=9, adjust=False).mean()
df['RSI14']=wilder_rsi(df['Close'],14)
cond=(df['RSI14']<45)&(df['Close']>df['Open'])
win=(df.loc[cond,'Next_Ret']>0).mean()*100
",VERIFIED_CORRECT_FORMULA_adjust=False
9,AVAX,Crypto,1d_5y,RSI>65+Range>1.5%+Close<Open,LONG,66.1,59,108.64,0.3,90.94,30,63.66,AVAX_1d_5y_REAL.csv,"SMA20=Close.rolling(20).mean(), SMA50=Close.rolling(50).mean(), EMA9=Close.ewm(span=9, adjust=False).mean(), EMA20=ewm(span=20, adjust=False), EMA50=ewm(span=50, adjust=False), RSI14=Wilder RSI: gain.ewm(alpha=1/14, adjust=False).mean(), loss.ewm(alpha=1/14, adjust=False).mean(), Range=(High-Low)/Close, 2Red=Ret<0 & Ret.shift(1)<0, Next_Ret=Close.shift(-1)/Close-1",0.30% RT = Binance 0.1% per side (0.2% RT) + slippage 0.05% per side (0.1% RT),30% India crypto tax / 25% US,"import pandas as pd
def wilder_rsi(s, p=14):
    d=s.diff(); g=d.where(d>0,0); l=-d.where(d<0,0)
    ag=g.ewm(alpha=1/p, adjust=False).mean()
    al=l.ewm(alpha=1/p, adjust=False).mean()
    return 100-(100/(1+ag/al))
df['EMA9']=df['Close'].ewm(span=9, adjust=False).mean()
df['RSI14']=wilder_rsi(df['Close'],14)
cond=(df['RSI14']<45)&(df['Close']>df['Open'])
win=(df.loc[cond,'Next_Ret']>0).mean()*100
",VERIFIED_CORRECT_FORMULA_adjust=False
10,AVAX,Crypto,1d_5y,Price<SMA20+Price>SMA50+Close>Open,SHORT,68.85,61,108.69,0.3,90.39,30,63.27,AVAX_1d_5y_REAL.csv,"SMA20=Close.rolling(20).mean(), SMA50=Close.rolling(50).mean(), EMA9=Close.ewm(span=9, adjust=False).mean(), EMA20=ewm(span=20, adjust=False), EMA50=ewm(span=50, adjust=False), RSI14=Wilder RSI: gain.ewm(alpha=1/14, adjust=False).mean(), loss.ewm(alpha=1/14, adjust=False).mean(), Range=(High-Low)/Close, 2Red=Ret<0 & Ret.shift(1)<0, Next_Ret=Close.shift(-1)/Close-1",0.30% RT = Binance 0.1% per side (0.2% RT) + slippage 0.05% per side (0.1% RT),30% India crypto tax / 25% US,"import pandas as pd
def wilder_rsi(s, p=14):
    d=s.diff(); g=d.where(d>0,0); l=-d.where(d<0,0)
    ag=g.ewm(alpha=1/p, adjust=False).mean()
    al=l.ewm(alpha=1/p, adjust=False).mean()
    return 100-(100/(1+ag/al))
df['EMA9']=df['Close'].ewm(span=9, adjust=False).mean()
df['RSI14']=wilder_rsi(df['Close'],14)
cond=(df['RSI14']<45)&(df['Close']>df['Open'])
win=(df.loc[cond,'Next_Ret']>0).mean()*100
",VERIFIED_CORRECT_FORMULA_adjust=False
